2025-03-09 15:29:53 info: Congratulations, your extension "Embold" is now active!
2025-03-09 15:29:53 info: tempDirectory : c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-09 15:30:03 info: Extraction complete for source: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\resources\embold-scanner-archive.zip, destination: c:\Users\Sneha\.vscode\extensions\embold-vscode.embold-0.1.8\temp
2025-03-09 15:30:03 info: Extension installed on machine OS : win32
2025-03-09 15:30:03 info: Fetched the issues from DB
2025-03-09 15:30:04 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2025-03-09 15:30:04 info: Current installed embold extension version : 0.1.8
2025-03-09 15:30:04 info: Latest embold extension version on marketplace : 0.1.6
2025-03-09 15:30:06 info: Java version installed on machine : 
openjdk version "21.0.2" 2024-01-16 LTS
OpenJDK Runtime Environment Temurin-21.0.2+13 (build 21.0.2+13-LTS)
OpenJDK 64-Bit Server VM Temurin-21.0.2+13 (build 21.0.2+13-LTS, mixed mode, sharing)

2025-03-09 15:30:06 info: Java installed on machine.
2025-03-09 15:45:32 info: Row(s) deleted
2025-03-09 15:45:32 info: Row(s) deleted
2025-03-09 15:45:32 info: Row(s) deleted
2025-03-09 15:45:32 info: Row(s) deleted
2025-03-09 16:03:33 info: Row(s) deleted
2025-03-09 16:03:33 info: Row(s) deleted
2025-03-09 16:03:33 info: Row(s) deleted
2025-03-09 16:03:33 info: Row(s) deleted
2025-03-09 16:04:24 info: Row(s) deleted
2025-03-09 16:05:30 info: Row(s) deleted
2025-03-09 16:05:30 info: Row(s) deleted
2025-03-09 16:05:30 info: Row(s) deleted
2025-03-09 16:05:30 info: Row(s) deleted
2025-03-09 16:12:43 info: Row(s) deleted
2025-03-09 16:14:44 info: Row(s) deleted
2025-03-09 16:14:44 info: Row(s) deleted
2025-03-09 16:14:44 info: Row(s) deleted
2025-03-09 16:14:44 info: Row(s) deleted
2025-03-09 16:16:43 info: Row(s) deleted
2025-03-09 16:16:52 info: Row(s) deleted
2025-03-09 16:16:56 info: Row(s) deleted
2025-03-09 16:16:59 info: Row(s) deleted
2025-03-09 16:17:05 info: Row(s) deleted
2025-03-09 16:17:09 info: Row(s) deleted
2025-03-09 16:17:12 info: Row(s) deleted
2025-03-09 16:17:16 info: Row(s) deleted
2025-03-09 16:21:20 info: Row(s) deleted
2025-03-09 16:21:20 info: Row(s) deleted
2025-03-09 16:21:20 info: Row(s) deleted
2025-03-09 16:24:27 info: Row(s) deleted
2025-03-09 16:25:29 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:30 info: Row(s) deleted
2025-03-09 16:25:31 info: Row(s) deleted
2025-03-09 16:25:31 info: Row(s) deleted
2025-03-09 16:25:31 info: Row(s) deleted
2025-03-09 16:25:31 info: Row(s) deleted
2025-03-09 16:25:31 info: Row(s) deleted
2025-03-09 16:25:31 info: Row(s) deleted
2025-03-09 16:25:31 info: Row(s) deleted
2025-03-09 16:25:31 info: Row(s) deleted
